Item,Requirement,BulletPoints
1.1,Be aware of the care needed when handling a colony of honey bees;,"Keep in mind safety of self and, particularly, others (consider proximity to public and precautions to be taken)"
1.1,,Be slow and gentle when manipulating the colony in order to as much as possible keep the bees calm
1.2,Be aware of the reactions of honey bees to smoke;,"Bees fear for the colony, ingest nectar/honey, and in doing so make themselves full, heavy and less inclined to sting"
1.2,,Make sure smoke not too hot or too much smoke is applied as the Bees may react badly
1.3,Be aware of the personal equipment needed to open a colony of honey bees and the importance of its cleanliness;,"Essential – suit, gloves, smoker, hive tool, spare fuel and lighter"
1.3,,"Desirable – bee brush, icing sugar dispenser, container for removed brace comb, container with washing soda for cleaning equipment and cover cloth"
1.3,,"Occasional use – queen cage, queen marking pen and cage"
1.3,,Must clean equipment between hives and after apiary visit
1.3,,Beekeepers are a conduit for the spread of disease
1.4,Be aware of the reasons for opening a colony;,To check if “queenright”
1.4,,To check for sufficient stores
1.4,,To check for the presence of disease
1.4,,To check the results of previous manipulations
1.4,,To perform new manipulations to achieve specific objectives
1.5,Be aware of the need for stores.,During the season a thriving colony requires 10lb honey to survive a week (equivalent of 2 x brood frames of stores)
1.5,,Stores primarily means carbohydrate (nectar or honey) also pollen for protein to feed the brood
1.5,,"To provide the bees with food during the june gap, late autumn, winter and early spring months and during prolonged periods of poor weather in the “honey flow” season"
1.6,Be aware of the importance of record keeping.,To help manage stocks more effectively by reminding you what you found and what you did
1.6,,To help manage stocks more effectively by enabling you to plan what needs to be done next
1.6,,"Record information like date, weather, queen sighting, queen cells, brood, stores, space, temper, varroa, supers feed"
1.7,Be able to open a colony of honey bees and keep the colony under control;,Spend a moment observing bees at the entrance before smoking in order to recognise normal behaviour
1.7,,Work from behind entrance if “warm” way and side if “cold” way
1.7,,"Put roof upturned on floor and supers on roof, with crown board on top to prevent robbing"
1.7,,Check underside of excluder (or crown board) for queen and return her to the brood
1.7,,"Demonstrate that you are aware of the use of cover cloths, which prevent more bees from flying up and help maintain the hive temperature"
1.7,,"Demonstrate that you are aware that sometimes using spray of tepid water can be better than smoke, as the former calms them, while the latter might panic them"
1.7,,Return frames in the same order
1.8,Be able to demonstrate lighting and the use of the smoker;,"Show you know what fuels are available, which are coolest and that fresh grass in the top prevents hot ash being blown into the hive"
1.8,,Few puffs at the entrance and wait for it to take effect
1.8,,"Keep it alight, keep it close at hand"
1.8,,Occasional use and waiting for it to take effect if the bees become too agitated
1.8,,Demonstrate use to control bees and drive them down before replacing parts
1.8,,"Know how to put it out safely, block top with grass is a good method"
1.9,Be able to demonstrate the use of the hive tool;,Keep tool in hand at all times
1.9,,"It can be used for a variety of purposes: scraper, lever for boxes and frames"
1.9,,Good practice is to wash it in washing soda between hives
1.10,"Be able to remove combs from the hive and identify worker, drone and queen cells or cups if present, and to comment on the state of the combs;",Remove an outermost edge frame or dummy board making space to operate
1.10,,Demonstrate responsible temporary storage of removed frames: perhaps in a spare brood box or carefully propped against the hive or even leaning against the queen excluder which might be leaning up to the hive entrance
1.10,,"Do not “roll” bees, but use space made to move frames along then slowly lift them out"
1.10,,"Once found, some beekeepers temporarily trap the queen in a matchbox or queen cage to avoid losing or damaging her"
1.10,,"Recognise and comment on brood pattern (colour, age, type etc.), brace comb and spacing"
1.11,Be able to identify the female castes and the drone;,Females – workers and queen (or telltale signs of Queen)
1.12,Be able to identify brood at all stages;,"Eggs, larvae, pupae (sealed in cells)"
1.13,"Be able to demonstrate the difference between drone, worker and honey cappings;",Honey cappings are paler and waxier
1.13,,Brood cappings are various biscuit shades and look more fibrous in texture
1.13,,Drone cells have a larger surface area and are deeper (longer) too
1.14,"Be able to identify stored nectar, honey and pollen;","Nectar is clear and uncapped,"
1.14,,Honey is capped
1.14,,Pollen is uncapped and a range of colours
1.14,,All three normally present in an arc round brood cells on the outermost frames
1.15,Be able to take a sample of worker bees in a suitable container;,"Either shake bees onto an appropriate surface, e.g. Hive roof or position populated brood frame appropriately"
1.15,,Place the open part of a matchbox over the bees and close it before removing it from the surface
1.16,Be able to state the number of worker bees required for an adult disease diagnosis sample;,30 or so live bees
1.16,,"200-300 dead bees for suspected poisoning, most likely found outside the hive"
1.17,Be able to demonstrate how to shake bees from a comb and how to look for signs of brood disease;,Make space by removing two frames
1.17,,Shake bees sharply from frame whilst it is still low in the brood chamber
1.17,,Hold lugs firmly
1.17,,"Jerk firmly downwards, avoid hitting sides as you do so"
1.17,,May need to do a second/third time to remove all the bees
1.18,Be able to name and explain the function of the principal parts of a modern beehive;,"Stand, Open Mesh Floor, Entrance Block, Brood Box, Brood Frame, Foundation, Queen Excluder, Super, Super Frame, Crown Board, Porter Escape and Roof"
1.18,,Different types of hive (no longer a requirement to know these):
1.18,,National (commercial with deeper brood frames)
1.18,,"WBC, classic bee house"
1.18,,"Langstroth, outside UK most popular hive, has jumbo"
1.18,,"Dadant, similar to Langstroth, biggest hive available"
1.18,,"Smith, similar to National except frames have short lugs, popular with bee farmers who move hives around"
1.19,Be able to discuss the concept of the bee space and its significance in the modern beehive;,The height of a bee 3/8thinch or 6-9 mm
1.19,,It is the crawl space needed by the bee to pass easily between two structures
1.19,,Not so small they will propolise it <6mm
1.19,,Not to large they will brace comb it > 9mm
1.19,,Vertically you must opt for top or bottom bee space and not mix the two
1.19,,"Hoffman frames are designed to set correct space, other frame types may need spacers"
1.20,Be able to assemble a brood frame and fit it with wired wax foundation;,Nails across Hoffman shoulders
